bbl,latitude,longitude,bldgclass,landuse,lotarea,bldgarea,numfloors,unitsres,unitstotal,yearbuilt,footprint_area
1015590019.0,40.771901,-73.9505996,D6,4.0,31058.0,277073.0,13.0,233.0,238.0,1956.0,21313.30769230769
1015610008.0,40.773526,-73.9508151,C1,2.0,2554.0,7520.0,5.0,20.0,20.0,1900.0,1504.0
1015590033.0,40.77228,-73.9510326,D6,4.0,15300.0,137238.0,13.0,156.0,157.0,1961.0,10556.76923076923
1015600126.0,40.7726006,-73.9498951,K2,5.0,1190.0,2490.0,3.0,0.0,2.0,1900.0,830.0
1015600021.0,40.7724416,-73.9502238,D6,4.0,17824.0,223798.0,20.0,148.0,150.0,1966.0,11189.9
1015600025.0,40.7725402,-73.9499385,S9,4.0,2380.0,5030.0,3.0,4.0,6.0,1920.0,1676.6666666666667
1015590046.0,40.7726453,-73.9517977,C1,2.0,1838.0,7126.0,5.0,10.0,10.0,1910.0,1425.2
1015590010.0,40.7720742,-73.951318,D4,3.0,21351.0,184816.0,14.0,186.0,193.0,1955.0,13201.142857142857
1015600005.0,40.7729389,-73.9513968,D4,3.0,10217.0,42570.0,5.0,79.0,79.0,1959.0,8514.0
1015610015.0,40.7732924,-73.9502628,C1,2.0,2554.0,10448.0,5.5,20.0,20.0,1915.0,1899.6363636363637
1015600001.0,40.7732052,-73.9516385,D6,4.0,21800.0,302049.0,35.0,310.0,316.0,1980.0,8629.971428571429
1015610046.0,40.77399,-73.9510638,C7,4.0,2716.0,10650.0,5.0,14.0,16.0,1920.0,2130.0
1015600009.0,40.7728537,-73.9511983,C1,2.0,2555.0,9295.0,5.0,20.0,20.0,1925.0,1859.0
1015610011.0,40.7734243,-73.9505768,C1,2.0,2554.0,9570.0,5.0,21.0,21.0,1930.0,1914.0
1015590009.0,40.7722281,-73.9516861,M3,8.0,2554.0,9587.0,4.0,0.0,1.0,1887.0,2396.75
1015600010.0,40.7728042,-73.9510791,D1,3.0,5109.0,23568.0,7.0,41.0,41.0,1925.0,3366.8571428571427
1015600014.0,40.7726696,-73.9507615,C1,2.0,5474.0,23346.0,6.0,31.0,31.0,1925.0,3891.0
1015600029.0,40.7727022,-73.9500611,C7,4.0,4418.0,18190.0,6.0,34.0,38.0,1910.0,3031.6666666666665
1015600042.0,40.7731885,-73.9512088,D3,3.0,5108.0,22500.0,5.0,34.0,34.0,1950.0,4500.0
1015610014.0,40.7733254,-73.9503422,C1,2.0,2554.0,10412.0,5.5,20.0,20.0,1920.0,1893.090909090909
1015610012.0,40.7733914,-73.9504974,C1,2.0,2554.0,10000.0,5.0,21.0,21.0,1950.0,2000.0
1015610045.0,40.7740531,-73.9510132,C7,4.0,2734.0,8430.0,4.0,12.0,16.0,1910.0,2107.5
1015600027.0,40.7726418,-73.9498626,S4,4.0,1190.0,2516.0,3.0,4.0,5.0,1915.0,838.6666666666666
1015610009.0,40.7734903,-73.9507357,D3,3.0,2554.0,9000.0,5.0,20.0,20.0,1960.0,1800.0
1015610034.0,40.7735751,-73.9501579,D6,4.0,7662.0,26400.0,4.0,45.0,47.0,1960.0,6600.0
1015610047.0,40.7738994,-73.9511289,D7,4.0,5431.0,28000.0,7.0,51.0,53.0,1960.0,4000.0
1015600016.0,40.7725954,-73.9505883,C7,4.0,5474.0,23346.0,6.0,31.0,32.0,1925.0,3891.0
1015600041.0,40.7731391,-73.9510933,C1,2.0,2554.0,9470.0,5.0,20.0,20.0,1900.0,1894.0
1015610013.0,40.7733584,-73.950418,C1,2.0,2554.0,9570.0,5.0,20.0,20.0,1911.0,1914.0
1015590031.0,40.7721453,-73.950715,I7,8.0,5108.0,38106.0,8.0,0.0,1.0,1910.0,4763.25
1015600028.0,40.7727076,-73.9498156,C7,4.0,2380.0,5250.0,3.0,10.0,13.0,1910.0,1750.0
1015610033.0,40.7735092,-73.9500027,C7,4.0,2554.0,11626.0,6.0,19.0,20.0,1920.0,1937.6666666666667
1015590005.0,40.772423,-73.9516715,M1,8.0,27273.0,70081.0,1.0,0.0,3.0,1905.0,70081.0
1015600031.0,40.7728561,-73.950422,D1,3.0,10217.0,56064.0,7.0,67.0,68.0,1961.0,8009.142857142857
1015600040.0,40.7731061,-73.9510139,C1,2.0,2554.0,9470.0,5.0,21.0,22.0,1910.0,1894.0
1015610007.0,40.773559,-73.9508945,C1,2.0,2554.0,10375.0,5.0,20.0,20.0,1920.0,2075.0
1015610021.0,40.7732263,-73.9497213,D3,3.0,42194.0,502595.0,33.0,415.0,415.0,1966.0,15230.151515151516
1015600039.0,40.7730732,-73.9509345,D3,3.0,2554.0,9295.0,8.0,7.0,8.0,1985.0,1161.875
1015600035.0,40.7729385,-73.9506205,C1,2.0,2554.0,8614.0,5.0,20.0,20.0,1925.0,1722.8
1015600036.0,40.7729742,-73.9506999,C1,2.0,2554.0,8615.0,5.0,20.0,20.0,1910.0,1723.0
1015610037.0,40.7737564,-73.9505946,M4,8.0,20433.0,35159.0,5.0,0.0,2.0,1927.0,7031.8
1015610016.0,40.7732595,-73.9501834,C1,2.0,2554.0,9570.0,5.0,19.0,19.0,1915.0,1914.0
1015600030.0,40.7727599,-73.9501982,C7,4.0,4418.0,18190.0,6.0,34.0,37.0,1910.0,3031.6666666666665
1015600044.0,40.7732408,-73.9513316,C1,2.0,2554.0,9750.0,5.0,19.0,19.0,1950.0,1950.0
1015610010.0,40.7734573,-73.9506562,C1,2.0,2554.0,9570.0,5.0,21.0,21.0,1930.0,1914.0
1015610001.0,40.7736798,-73.9511832,D6,4.0,15973.0,210428.0,21.0,199.0,205.0,1964.0,10020.380952380952
1015600012.0,40.7727548,-73.95096,C1,2.0,2554.0,9295.0,5.0,20.0,20.0,1925.0,1859.0
1015600037.0,40.7730072,-73.9507793,O2,5.0,2554.0,3176.0,2.0,0.0,1.0,1952.0,1588.0
1015600013.0,40.7727218,-73.9508842,C1,2.0,2554.0,9295.0,5.0,18.0,18.0,1925.0,1859.0
1015600038.0,40.7730402,-73.9508587,C1,2.0,2554.0,11000.0,5.0,20.0,20.0,1910.0,2200.0
1015620002.0,40.7743412,-73.9508614,C7,4.0,2042.0,8055.0,5.0,8.0,9.0,1920.0,1611.0
1015620038.0,40.7743079,-73.9499335,C6,2.0,2554.0,8345.0,5.0,22.0,22.0,1930.0,1669.0
1015620043.0,40.7744755,-73.9503306,C1,2.0,2554.0,8284.0,5.0,20.0,20.0,1930.0,1656.8
1015620047.0,40.7745799,-73.9506879,C7,4.0,2000.0,7750.0,5.0,8.0,10.0,1915.0,1550.0
1015630001.0,40.7749064,-73.9504385,C7,4.0,2281.0,10865.0,5.0,16.0,18.0,1915.0,2173.0
