place_id,station_id,station_name,dist_m,within_250,within_400
ChIJaXQRs6lZwokRY6EFpJnhNNE,6322.01,E 33 St & 5 Ave,107.8,1,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,6441.02,Broadway & W 37 St,397.9,0,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,6280.13,E 33 St & Park Ave,365.2,0,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,6441.11,Broadway & W 36 St,354.9,0,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,6398.06,W 37 St & 5 Ave,288.5,0,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,6398.08,E 35 St & Madison Ave,261.9,0,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,6364.1,6 Ave & W 34 St,241.2,1,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,6289.06,Broadway & W 29 St,348.4,0,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,6248.08,5 Ave & E 30 St,278.2,0,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,6364.07,6 Ave & W 33 St,245.9,1,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,6441.01,Broadway & W 36 St,328.1,0,1
ChIJmQJIxlVYwokRLgeuocVOGVU,6517.08,W 42 St & 6 Ave,349.8,0,1
ChIJmQJIxlVYwokRLgeuocVOGVU,6593.14,W 43 St & 6 Ave,360.8,0,1
ChIJmQJIxlVYwokRLgeuocVOGVU,6667.12,W 47 St & 6 Ave,302.7,0,1
ChIJmQJIxlVYwokRLgeuocVOGVU,6593.15,6 Ave & W 45 St,270.4,0,1
ChIJmQJIxlVYwokRLgeuocVOGVU,6560.01,Broadway & W 41 St,327.6,0,1
ChIJmQJIxlVYwokRLgeuocVOGVU,6676.02,W 45 St & 8 Ave,296.0,0,1
ChIJmQJIxlVYwokRLgeuocVOGVU,6667.04,W 47 St & 6 Ave,256.4,0,1
ChIJmQJIxlVYwokRLgeuocVOGVU,6708.04,Broadway & W 48 St,251.4,0,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6771.13,W 54 St & 6 Ave,367.8,0,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6700.01,W 52 St & 5 Ave,226.4,1,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6551.16,E 46 St & Madison Ave,383.0,0,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6667.12,W 47 St & 6 Ave,284.1,0,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6740.01,W 52 St & 6 Ave,303.7,0,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6626.01,E 48 St & 5 Ave,174.1,1,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6659.09,Madison Ave & E 51 St,298.7,0,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6593.15,6 Ave & W 45 St,388.2,0,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6700.14,W 51 St & Rockefeller Plaza,120.5,1,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6626.11,W 48 St &  Rockefeller Plaza,119.9,1,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6740.1,W 51 St & 6 Ave,259.2,0,1
ChIJI6lzvP5YwokRf36nzqqs4_0,6667.04,W 47 St & 6 Ave,328.7,0,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6771.13,W 54 St & 6 Ave,334.0,0,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6700.01,W 52 St & 5 Ave,254.3,0,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6667.12,W 47 St & 6 Ave,252.5,0,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6740.01,W 52 St & 6 Ave,222.9,1,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6626.01,E 48 St & 5 Ave,260.1,0,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6659.09,Madison Ave & E 51 St,369.2,0,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6779.07,W 51 St & 7 Ave,370.2,0,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6593.15,6 Ave & W 45 St,380.5,0,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6700.14,W 51 St & Rockefeller Plaza,117.1,1,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6626.11,W 48 St &  Rockefeller Plaza,176.0,1,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6740.1,W 51 St & 6 Ave,168.8,1,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,6667.04,W 47 St & 6 Ave,285.0,0,1
ChIJTWE_0BtawokRVJNGH5RS448,5175.08,Fulton St & Broadway,381.0,0,1
ChIJTWE_0BtawokRVJNGH5RS448,5329.08,Murray St & West St,232.9,1,1
ChIJTWE_0BtawokRVJNGH5RS448,5297.02,Vesey Pl & River Terrace,387.1,0,1
ChIJTWE_0BtawokRVJNGH5RS448,5216.07,Vesey St & Greenwich St,179.6,1,1
ChIJTWE_0BtawokRVJNGH5RS448,5256.06,Vesey St & West St,158.3,1,1
ChIJTWE_0BtawokRVJNGH5RS448,5288.12,Murray St & Greenwich St,262.9,0,1
ChIJTWE_0BtawokRVJNGH5RS448,5216.04,Barclay St & Church St,250.6,0,1
ChIJTWE_0BtawokRVJNGH5RS448,5216.06,Vesey St & Church St,243.9,1,1
ChIJTWE_0BtawokRVJNGH5RS448,5184.08,West St & Liberty St,223.8,1,1
ChIJTWE_0BtawokRVJNGH5RS448,5288.08,Park Pl & Church St,323.9,0,1
ChIJTWE_0BtawokRVJNGH5RS448,5288.09,Warren St & W Broadway,393.3,0,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5073.07,Greenwich St & Rector St,390.9,0,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5175.08,Fulton St & Broadway,332.7,0,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5114.08,South End Ave & Albany St,324.5,0,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5105.01,Liberty St & Broadway,372.1,0,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5329.08,Murray St & West St,390.9,0,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5216.07,Vesey St & Greenwich St,214.9,1,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5256.06,Vesey St & West St,291.4,0,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5073.08,Greenwich St & Rector St,359.0,0,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5216.04,Barclay St & Church St,303.0,0,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5216.06,Vesey St & Church St,251.7,0,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5145.02,Albany St & Greenwich St,257.0,0,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5184.08,West St & Liberty St,128.2,1,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,5288.08,Park Pl & Church St,388.7,0,1
ChIJb8Jg9pZYwokR-qHGtvSkLzs,7161.08,5 Ave & E 78 St,357.1,0,1
ChIJb8Jg9pZYwokR-qHGtvSkLzs,7188.13,Madison Ave & E 82 St,259.2,0,1
ChIJKxDbe_lYwokRVf__s8CPn-o,6771.13,W 54 St & 6 Ave,57.7,1,1
ChIJKxDbe_lYwokRVf__s8CPn-o,6700.01,W 52 St & 5 Ave,193.3,1,1
ChIJKxDbe_lYwokRVf__s8CPn-o,6740.01,W 52 St & 6 Ave,185.5,1,1
ChIJKxDbe_lYwokRVf__s8CPn-o,6659.09,Madison Ave & E 51 St,375.7,0,1
ChIJKxDbe_lYwokRVf__s8CPn-o,6659.03,E 53 St & Madison Ave,358.5,0,1
ChIJKxDbe_lYwokRVf__s8CPn-o,6700.14,W 51 St & Rockefeller Plaza,193.0,1,1
ChIJKxDbe_lYwokRVf__s8CPn-o,6809.07,W 56 St & 6 Ave,222.0,1,1
ChIJKxDbe_lYwokRVf__s8CPn-o,6740.1,W 51 St & 6 Ave,250.9,0,1
ChIJKxDbe_lYwokRVf__s8CPn-o,6809.09,W 55 St & 6 Ave,206.9,1,1
ChIJCXoPsPRYwokRsV1MYnKBfaI,7304.08,W 82 St & Central Park West,271.5,0,1
ChIJCXoPsPRYwokRsV1MYnKBfaI,7253.04,Central Park West & W 76 St,262.8,0,1
ChIJCXoPsPRYwokRsV1MYnKBfaI,7281.09,W 76 St & Columbus Ave,305.2,0,1
ChIJhRwB-yFawokRi0AhGH87UTc,6474.11,E 40 St & 5 Ave,378.1,0,1
ChIJhRwB-yFawokRi0AhGH87UTc,6432.08,Park Ave & E 41 St,138.5,1,1
ChIJhRwB-yFawokRi0AhGH87UTc,6389.09,E 39 St & Lexington Ave,357.6,0,1
ChIJhRwB-yFawokRi0AhGH87UTc,6551.16,E 46 St & Madison Ave,299.6,0,1
ChIJhRwB-yFawokRi0AhGH87UTc,6584.12,E 47 St & Park Ave,325.8,0,1
ChIJhRwB-yFawokRi0AhGH87UTc,6464.09,E 44 St & Lexington Ave,188.1,1,1
ChIJhRwB-yFawokRi0AhGH87UTc,6464.08,E 45 St & 3 Ave,371.1,0,1
ChIJhRwB-yFawokRi0AhGH87UTc,6432.1,E 41 St & Madison Ave (SE corner),215.9,1,1
ChIJhRwB-yFawokRi0AhGH87UTc,6432.11,E 40 St & Park Ave,236.6,1,1
ChIJhRwB-yFawokRi0AhGH87UTc,6551.02,W 44 St & 5 Ave,353.8,0,1
ChIJhRwB-yFawokRi0AhGH87UTc,6432.09,Park Ave & E 42 St,101.9,1,1
ChIJhRwB-yFawokRi0AhGH87UTc,6551.11,E 43 St & Madison Ave,173.3,1,1
ChIJhRwB-yFawokRi0AhGH87UTc,6432.15,Park Ave & E 40 St,207.6,1,1
ChIJ5bQPhMdZwokRkTwKhVxhP1g,6425.04,11 Ave & W 27 St,380.4,0,1
ChIJ5bQPhMdZwokRkTwKhVxhP1g,6306.01,W 20 St & 10 Ave,258.4,0,1
ChIJ5bQPhMdZwokRkTwKhVxhP1g,6266.06,9 Ave & W 22 St,363.8,0,1
ChIJ5bQPhMdZwokRkTwKhVxhP1g,6306.06,W 22 St & 10 Ave,121.1,1,1
ChIJ5bQPhMdZwokRkTwKhVxhP1g,6233.04,Pier 61 at Chelsea Piers,315.8,0,1
ChIJ5bQPhMdZwokRkTwKhVxhP1g,6339.06,W 25 St & 9 Ave,353.6,0,1
ChIJ5bQPhMdZwokRkTwKhVxhP1g,6382.05,W 26 St & 10 Ave,245.3,1,1
ChIJ5bQPhMdZwokRkTwKhVxhP1g,6306.07,W 20 St & 11 Ave,287.6,0,1
ChIJ5bQPhMdZwokRkTwKhVxhP1g,6459.04,10 Ave & W 28 St,389.8,0,1
ChIJK3vOQyNawokRXEa9errdJiU,5096.12,Peck Slip & South St,389.5,0,1
ChIJURWoF5pYwokRIfXv4To528c,4962.01,Broadway & Battery Pl,105.6,1,1
ChIJURWoF5pYwokRIfXv4To528c,5001.08,Little West St & 1 Pl,280.7,0,1
ChIJURWoF5pYwokRIfXv4To528c,4962.02,Whitehall St & Bridge St,213.9,1,1
ChIJURWoF5pYwokRIfXv4To528c,5073.07,Greenwich St & Rector St,277.2,0,1
ChIJURWoF5pYwokRIfXv4To528c,4993.02,Pearl St & Hanover Square,365.8,0,1
ChIJURWoF5pYwokRIfXv4To528c,5033.01,Broadway & Morris St,45.6,1,1
ChIJURWoF5pYwokRIfXv4To528c,4962.09,Pearl St & Whitehall St,271.2,0,1
ChIJURWoF5pYwokRIfXv4To528c,5073.08,Greenwich St & Rector St,308.7,0,1
ChIJURWoF5pYwokRIfXv4To528c,4962.08,Broad St & Bridge St,260.8,0,1
ChIJqygAFrRZwokRwF0VrBoXS0E,6535.04,W 34 St & Hudson Blvd E,200.0,1,1
ChIJqygAFrRZwokRwF0VrBoXS0E,6425.04,11 Ave & W 27 St,372.6,0,1
ChIJqygAFrRZwokRwF0VrBoXS0E,6459.07,W 30 St & 10 Ave,124.9,1,1
ChIJqygAFrRZwokRwF0VrBoXS0E,6535.05,10 Ave & W 34 St,275.0,0,1
ChIJqygAFrRZwokRwF0VrBoXS0E,6492.04,W 33 St & 10 Ave,234.0,1,1
ChIJqygAFrRZwokRwF0VrBoXS0E,6459.04,10 Ave & W 28 St,351.0,0,1
ChIJqygAFrRZwokRwF0VrBoXS0E,6578.01,W 34 St & 11 Ave,237.3,1,1
ChIJqygAFrRZwokRwF0VrBoXS0E,6611.07,Hudson Blvd W & W 36 St,387.8,0,1
ChIJ3aqq5Q1ZwokRb9hLO7Gyxgw,6535.04,W 34 St & Hudson Blvd E,200.9,1,1
ChIJ3aqq5Q1ZwokRb9hLO7Gyxgw,6459.07,W 30 St & 10 Ave,134.2,1,1
ChIJ3aqq5Q1ZwokRb9hLO7Gyxgw,6492.08,9 Ave & W 33 St,372.8,0,1
ChIJ3aqq5Q1ZwokRb9hLO7Gyxgw,6535.05,10 Ave & W 34 St,222.0,1,1
ChIJ3aqq5Q1ZwokRb9hLO7Gyxgw,6492.04,W 33 St & 10 Ave,147.6,1,1
ChIJ3aqq5Q1ZwokRb9hLO7Gyxgw,6459.04,10 Ave & W 28 St,309.4,0,1
ChIJ3aqq5Q1ZwokRb9hLO7Gyxgw,6569.08,W 35 St & Dyer Ave,339.9,0,1
ChIJ3aqq5Q1ZwokRb9hLO7Gyxgw,6578.01,W 34 St & 11 Ave,297.1,0,1
ChIJ3aqq5Q1ZwokRb9hLO7Gyxgw,6611.07,Hudson Blvd W & W 36 St,391.5,0,1
ChIJd7I1IO5ZwokRbv7YUlgChl4,6474.11,E 40 St & 5 Ave,257.4,0,1
ChIJd7I1IO5ZwokRbv7YUlgChl4,6432.08,Park Ave & E 41 St,149.4,1,1
ChIJd7I1IO5ZwokRbv7YUlgChl4,6389.09,E 39 St & Lexington Ave,383.8,0,1
ChIJd7I1IO5ZwokRbv7YUlgChl4,6551.16,E 46 St & Madison Ave,306.2,0,1
ChIJd7I1IO5ZwokRbv7YUlgChl4,6464.09,E 44 St & Lexington Ave,314.5,0,1
ChIJd7I1IO5ZwokRbv7YUlgChl4,6432.1,E 41 St & Madison Ave (SE corner),111.3,1,1
ChIJd7I1IO5ZwokRbv7YUlgChl4,6432.11,E 40 St & Park Ave,227.0,1,1
ChIJd7I1IO5ZwokRbv7YUlgChl4,6551.02,W 44 St & 5 Ave,275.1,0,1
ChIJd7I1IO5ZwokRbv7YUlgChl4,6432.09,Park Ave & E 42 St,132.0,1,1
ChIJd7I1IO5ZwokRbv7YUlgChl4,6551.11,E 43 St & Madison Ave,88.2,1,1
ChIJd7I1IO5ZwokRbv7YUlgChl4,6432.15,Park Ave & E 40 St,184.9,1,1
ChIJUW4vEPxYwokRW6o24DU0YIg,6771.13,W 54 St & 6 Ave,372.3,0,1
ChIJUW4vEPxYwokRW6o24DU0YIg,6700.01,W 52 St & 5 Ave,147.8,1,1
ChIJUW4vEPxYwokRW6o24DU0YIg,6551.16,E 46 St & Madison Ave,377.0,0,1
ChIJUW4vEPxYwokRW6o24DU0YIg,6626.01,E 48 St & 5 Ave,218.4,1,1
ChIJUW4vEPxYwokRW6o24DU0YIg,6659.09,Madison Ave & E 51 St,89.7,1,1
ChIJUW4vEPxYwokRW6o24DU0YIg,6659.1,E 50 St & Park Ave,217.8,1,1
ChIJUW4vEPxYwokRW6o24DU0YIg,6659.03,E 53 St & Madison Ave,220.0,1,1
ChIJUW4vEPxYwokRW6o24DU0YIg,6700.14,W 51 St & Rockefeller Plaza,204.6,1,1
ChIJUW4vEPxYwokRW6o24DU0YIg,6626.11,W 48 St &  Rockefeller Plaza,277.3,0,1
ChIJUW4vEPxYwokRW6o24DU0YIg,6659.01,E 51 St & Lexington Ave,383.1,0,1
ChIJvbGg56pZwokRp_E3JbivnLQ,6474.11,E 40 St & 5 Ave,198.1,1,1
ChIJvbGg56pZwokRp_E3JbivnLQ,6517.08,W 42 St & 6 Ave,204.3,1,1
ChIJvbGg56pZwokRp_E3JbivnLQ,6593.14,W 43 St & 6 Ave,193.9,1,1
ChIJvbGg56pZwokRp_E3JbivnLQ,6398.06,W 37 St & 5 Ave,352.9,0,1
ChIJvbGg56pZwokRp_E3JbivnLQ,6593.15,6 Ave & W 45 St,380.6,0,1
ChIJvbGg56pZwokRp_E3JbivnLQ,6432.1,E 41 St & Madison Ave (SE corner),324.8,0,1
ChIJvbGg56pZwokRp_E3JbivnLQ,6560.01,Broadway & W 41 St,353.5,0,1
ChIJvbGg56pZwokRp_E3JbivnLQ,6551.02,W 44 St & 5 Ave,287.3,0,1
ChIJvbGg56pZwokRp_E3JbivnLQ,6560.15,Broadway & W 38 St,375.6,0,1
ChIJvbGg56pZwokRp_E3JbivnLQ,6551.11,E 43 St & Madison Ave,335.9,0,1
ChIJmZ5emqJYwokRuDz79o0coAQ,7344.05,E 91 St & Park Ave,312.2,0,1
ChIJmZ5emqJYwokRuDz79o0coAQ,7293.1,E 88 St & Park Ave,307.8,0,1
ChIJmZ5emqJYwokRuDz79o0coAQ,7323.09,5 Ave & E 87 St,105.5,1,1
ChIJN3MJ6pRYwokRiXg91flSP8Y,5997.1,W 12 St & Hudson St,358.4,0,1
ChIJN3MJ6pRYwokRiXg91flSP8Y,6115.09,W 15 St & 10 Ave,371.0,0,1
ChIJN3MJ6pRYwokRiXg91flSP8Y,6072.16,Gansevoort St & Hudson St,308.8,0,1
ChIJN3MJ6pRYwokRiXg91flSP8Y,6039.06,Washington St & Gansevoort St,69.2,1,1
ChIJN3MJ6pRYwokRiXg91flSP8Y,6115.06,Hudson St & W 13 St,306.8,0,1
ChIJN3MJ6pRYwokRiXg91flSP8Y,5964.01,Bank St & Washington St,377.8,0,1
ChIJN3MJ6pRYwokRiXg91flSP8Y,6157.04,10 Ave & W 14 St,270.2,0,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6771.13,W 54 St & 6 Ave,311.8,0,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6700.01,W 52 St & 5 Ave,294.2,0,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6667.12,W 47 St & 6 Ave,262.4,0,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6779.04,Broadway & W 51 St,383.9,0,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6740.01,W 52 St & 6 Ave,151.1,1,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6626.01,E 48 St & 5 Ave,343.9,0,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6779.07,W 51 St & 7 Ave,287.8,0,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6700.14,W 51 St & Rockefeller Plaza,159.0,1,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6626.11,W 48 St &  Rockefeller Plaza,252.0,0,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6740.1,W 51 St & 6 Ave,84.7,1,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6809.09,W 55 St & 6 Ave,380.2,0,1
ChIJPS8b1vhYwokRldqq2YHmxJI,6667.04,W 47 St & 6 Ave,278.9,0,1
ChIJhRwB-yFawokR5Phil-QQ3zM,6492.08,9 Ave & W 33 St,362.2,0,1
ChIJhRwB-yFawokR5Phil-QQ3zM,6373.07,W 30 St & 8 Ave,174.6,1,1
ChIJhRwB-yFawokR5Phil-QQ3zM,6297.07,8 Ave & W 27 St,390.0,0,1
ChIJhRwB-yFawokR5Phil-QQ3zM,6331.01,W 31 St & 7 Ave,215.6,1,1
ChIJhRwB-yFawokR5Phil-QQ3zM,6450.05,8 Ave & W 31 St,105.4,1,1
ChIJhRwB-yFawokR5Phil-QQ3zM,6450.12,8 Ave & W 33 St,122.6,1,1
ChIJhRwB-yFawokR5Phil-QQ3zM,6526.01,W 35 St & 8 Ave,256.7,0,1
ChIJhRwB-yFawokR5Phil-QQ3zM,6483.06,W 36 St & 7 Ave,376.0,0,1
ChIJZx8c96NZwokRJklw7SVhKt4,6215.04,W 25 St & 6 Ave,353.9,0,1
ChIJZx8c96NZwokRJklw7SVhKt4,6140.05,W 21 St & 6 Ave,383.0,0,1
ChIJZx8c96NZwokRJklw7SVhKt4,6131.1,E 24 St & Park Ave S,309.9,0,1
ChIJZx8c96NZwokRJklw7SVhKt4,5980.11,Broadway & E 19 St,309.6,0,1
ChIJZx8c96NZwokRJklw7SVhKt4,6098.02,W 20 St & 5 Ave,186.2,1,1
ChIJZx8c96NZwokRJklw7SVhKt4,6173.08,Broadway & W 25 St,205.7,1,1
ChIJZx8c96NZwokRJklw7SVhKt4,6098.12,Broadway & E 19 St,267.2,0,1
ChIJZx8c96NZwokRJklw7SVhKt4,6131.12,Madison Ave & E 26 St,309.6,0,1
ChIJZx8c96NZwokRJklw7SVhKt4,6098.1,Broadway & E 21 St,130.7,1,1
ChIJZx8c96NZwokRJklw7SVhKt4,6055.08,E 20 St & Park Ave,360.1,0,1
ChIJjX494pBZwokRGH620d9eYfo,5872.1,E 9 St & 5 Ave,244.5,1,1
ChIJjX494pBZwokRGH620d9eYfo,5721.01,Sullivan St & Washington Sq,152.5,1,1
ChIJjX494pBZwokRGH620d9eYfo,5755.09,Washington Square E,142.5,1,1
ChIJjX494pBZwokRGH620d9eYfo,5721.07,Thompson St & Bleecker St,340.1,0,1
ChIJjX494pBZwokRGH620d9eYfo,5755.01,Washington Pl & Broadway,344.6,0,1
ChIJjX494pBZwokRGH620d9eYfo,5838.09,Washington Pl & 6 Ave,289.5,0,1
ChIJjX494pBZwokRGH620d9eYfo,5755.15,Washington Pl & Greene St,197.8,1,1
ChIJjX494pBZwokRGH620d9eYfo,5755.14,University Pl & E 8 St,213.7,1,1
ChIJjX494pBZwokRGH620d9eYfo,5872.08,E 10 St & 5 Ave,329.7,0,1
ChIJjX494pBZwokRGH620d9eYfo,5721.14,LaGuardia Pl & W 3 St,201.3,1,1
ChIJjX494pBZwokRGH620d9eYfo,5797.01,MacDougal St & Washington Sq,183.3,1,1
ChIJw2lMFL9ZwokRosAtly52YX4,6233.05,W 16 St & The High Line,116.0,1,1
