place_id,name,nearest_station_complex_id,nearest_station_complex,nearest_dist_m
ChIJaXQRs6lZwokRY6EFpJnhNNE,Empire State Building,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",230.5
ChIJ4zGFAZpYwokRGUGph3Mf37k,Central Park,158,"86 St (C,B)",463.5
ChIJmQJIxlVYwokRLgeuocVOGVU,Times Square,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",141.3
ChIJI6lzvP5YwokRf36nzqqs4_0,Rockefeller Center,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",223.9
ChIJe7vKMf9YwokRIMYfDz7iF9o,Top of the Rock Observation Deck,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",178.9
ChIJTWE_0BtawokRVJNGH5RS448,One World Observatory,328,WTC Cortlandt (1),154.4
ChIJRcvoOxpawokR7R4dQMXMMPQ,9/11 Memorial & Museum,328,WTC Cortlandt (1),100.7
ChIJb8Jg9pZYwokR-qHGtvSkLzs,The Metropolitan Museum of Art,397,"86 St (4,5,6)",644.5
ChIJKxDbe_lYwokRVf__s8CPn-o,Museum of Modern Art,276,"5 Av/53 St (E,M)",245.8
ChIJCXoPsPRYwokRsV1MYnKBfaI,American Museum of Natural History,159,"81 St-Museum of Natural History (C,B)",155.7
ChIJhRwB-yFawokRi0AhGH87UTc,Grand Central Terminal,610,"Grand Central-42 St (S,4,5,6,7)",108.9
ChIJ5bQPhMdZwokRkTwKhVxhP1g,The High Line,165,"23 St (C,E)",612.1
ChIJK3vOQyNawokRXEa9errdJiU,Brooklyn Bridge,628,"Fulton St (A,C,J,Z,2,3,4,5)",956.2
ChIJURWoF5pYwokRIfXv4To528c,Charging Bull,414,"Bowling Green (4,5)",98.9
ChIJqygAFrRZwokRwF0VrBoXS0E,Vessel,471,34 St-Hudson Yards (7),231.6
ChIJ3aqq5Q1ZwokRb9hLO7Gyxgw,Edge,471,34 St-Hudson Yards (7),285.9
ChIJd7I1IO5ZwokRbv7YUlgChl4,Summit One Vanderbilt,610,"Grand Central-42 St (S,4,5,6,7)",193.3
ChIJUW4vEPxYwokRW6o24DU0YIg,St. Patrick's Cathedral,276,"5 Av/53 St (E,M)",191.0
ChIJvbGg56pZwokRp_E3JbivnLQ,Bryant Park,609,"Bryant Pk (B,D,F,M)/5 Av (7)",93.7
ChIJmZ5emqJYwokRuDz79o0coAQ,Solomon R. Guggenheim Museum,397,"86 St (4,5,6)",481.2
ChIJN3MJ6pRYwokRiXg91flSP8Y,Whitney Museum of American Art,618,"14 St (A,C,E)/8 Av (L)",616.6
ChIJPS8b1vhYwokRldqq2YHmxJI,Radio City Music Hall,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",185.2
ChIJhRwB-yFawokR5Phil-QQ3zM,Madison Square Garden,164,"34 St-Penn Station (A,C,E)",198.6
ChIJZx8c96NZwokRJklw7SVhKt4,Flatiron Building,14,"23 St (R,W)",40.4
ChIJjX494pBZwokRGH620d9eYfo,Washington Square Park,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",311.8
ChIJw2lMFL9ZwokRosAtly52YX4,Chelsea Market,618,"14 St (A,C,E)/8 Av (L)",412.0
ChIJHRH97uxYwokR6CBeDyn1jtg,The Frick Collection,399,68 St-Hunter College (6),441.3
ChIJ3453OAdZwokRja92OOKCugM,The Morgan Library & Museum,403,33 St (6),354.3
ChIJqaiomQBZwokRTHOaUG7fUTs,New York Public Library Stephen A. Schwarzman Building,609,"Bryant Pk (B,D,F,M)/5 Av (7)",115.1
ChIJraKL-BJawokREpxDmF5GcL4,The Battery,635,"South Ferry (1)/Whitehall St (R,W)",196.6
ChIJR_yfQhNawokRti4i3iRuWwY,Staten Island Ferry Whitehall Terminal,635,"South Ferry (1)/Whitehall St (R,W)",215.7
EhtTb3V0aCBTdCwgTmV3IFlvcmssIE5ZLCBVU0EiLiosChQKEgkleibqOlrCiRFTLFC5S1-9YhIUChIJ8_BTUSNawokRZOkHlZpubSI,South Street Seaport,333,"Wall St (2,3)",535.5
ChIJ4f4VwT5bwokRwQ6hjfC-eTM,Oculus,328,WTC Cortlandt (1),28.9
ChIJbVfZzhBawokRnmCT-muojBA,Trinity Church,413,"Wall St (4,5)",37.7
ChIJAaIFAxdawokR8txc3YPbD3A,Federal Hall National Memorial,333,"Wall St (2,3)",113.5
ChIJK6bycAH0wokRrSnflfrnkZE,The Met Cloisters,144,Dyckman St (A),381.3
ChIJa0R7Vjz2wokR_wv0XhIOo8Q,Cathedral of St. John the Divine,308,Cathedral Pkwy (110 St) (1),419.0
ChIJyQ3Tlj72wokRUCflR_kzeVc,Columbia University,307,116 St-Columbia University (1),131.0
ChIJRaWCMm32wokRLdyc4zmYzRw,Apollo Theater,153,"125 St (A,C,B,D)",228.0
ChIJN6W-X_VYwokRTqwcBnTw1Uk,Lincoln Center,314,66 St-Lincoln Center (1),152.9
ChIJ2RFUePdYwokRd5R6XF6xFD0,Carnegie Hall,9,"57 St-7 Av (N,Q,R,W)",80.5
ChIJ3xjWra5ZwokRrwJ0KZ4yKNs,Macy's Herald Square,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",94.1
ChIJi6oUnphZwokRpMog28mvAM0,Union Square,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",95.5
ChIJp32RvaZZwokRfH0Zgzl9mXk,Madison Square Park,14,"23 St (R,W)",150.4
ChIJYaVdffBYwokRnTOoCzCq9mE,The Plaza Hotel,8,"5 Av/59 St (N,R,W)",84.5
ChIJM-qBJWVZwokRZQwIoEESnEc,FAO Schwarz,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",167.5
