place_id,name,lat,lon,coord_source,address,category,indoor_outdoor,rating,review_count,has_popular_times,osm_matched,osm_category,wheelchair,capacity
ChIJaXQRs6lZwokRY6EFpJnhNNE,Empire State Building,40.7484405,-73.98566439999999,candidate,"20 W 34th St., New York, NY 10001",historical_landmark,indoor,4.7,127579,False,True,attraction,yes,
ChIJ4zGFAZpYwokRGUGph3Mf37k,Central Park,40.7825547,-73.9655834,candidate,"New York, NY",park,outdoor,4.8,300186,True,True,park,yes,
ChIJmQJIxlVYwokRLgeuocVOGVU,Times Square,40.7579747,-73.9855426,candidate,"Manhattan, NY 10036",plaza,outdoor,4.7,243735,True,True,attraction,yes,
ChIJI6lzvP5YwokRf36nzqqs4_0,Rockefeller Center,40.7587402,-73.9786736,candidate,"Rockefeller Center, New York, NY",historical_landmark,indoor,4.7,201429,False,True,attraction,yes,
ChIJe7vKMf9YwokRIMYfDz7iF9o,Top of the Rock Observation Deck,40.7593495,-73.9794087,candidate,"30 Rockefeller Plaza, New York, NY 10112",observation_deck,indoor,4.7,83709,True,False,,,
ChIJTWE_0BtawokRVJNGH5RS448,One World Observatory,40.713006199999995,-74.013173,candidate,"117 West St, New York, NY 10007",observation_deck,outdoor,4.7,25776,False,True,viewpoint,yes,
ChIJRcvoOxpawokR7R4dQMXMMPQ,9/11 Memorial & Museum,40.7115776,-74.0133362,candidate,"180 Greenwich St, New York, NY 10007",museum,indoor,4.8,93945,True,True,museum,yes,
ChIJb8Jg9pZYwokR-qHGtvSkLzs,The Metropolitan Museum of Art,40.7794366,-73.963244,candidate,"1000 5th Ave, New York, NY 10028",art_museum,indoor,4.8,93503,True,True,museum,yes,
ChIJKxDbe_lYwokRVf__s8CPn-o,Museum of Modern Art,40.7614327,-73.97762159999999,candidate,"11 W 53rd St, New York, NY 10019",art_museum,indoor,4.6,59853,True,False,,,
ChIJCXoPsPRYwokRsV1MYnKBfaI,American Museum of Natural History,40.7813241,-73.9739882,candidate,"200 Central Prk W, New York, NY 10024",museum,indoor,4.6,25056,True,True,museum,yes,
ChIJhRwB-yFawokRi0AhGH87UTc,Grand Central Terminal,40.752714,-73.97722689999999,candidate,"89 E 42nd St, New York, NY 10017",transit_depot,indoor,4.8,33080,True,True,attraction,yes,
ChIJ5bQPhMdZwokRkTwKhVxhP1g,The High Line,40.747992499999995,-74.0047649,candidate,"New York, NY 10011",park,outdoor,4.7,67569,True,True,attraction,yes,
ChIJK3vOQyNawokRXEa9errdJiU,Brooklyn Bridge,40.7060855,-73.9968643,candidate,"New York, NY 10038",bridge,outdoor,4.8,92413,False,True,attraction,,
ChIJURWoF5pYwokRIfXv4To528c,Charging Bull,40.7055746,-74.0134499,candidate,"Bowling Green, New York, NY 10004",sculpture,indoor,4.4,42878,True,True,artwork,limited,
ChIJqygAFrRZwokRwF0VrBoXS0E,Vessel,40.7538073,-74.0021537,candidate,"20 Hudson Yards, New York, NY 10001",landmark,indoor,4.6,29269,True,True,artwork,yes,
ChIJ3aqq5Q1ZwokRb9hLO7Gyxgw,Edge,40.753393599999995,-74.00105500000001,candidate,"30 Hudson Yards, New York, NY 10001",tourist_attraction,outdoor,4.6,32470,True,True,viewpoint,,
ChIJd7I1IO5ZwokRbv7YUlgChl4,Summit One Vanderbilt,40.7527746,-73.9787253,candidate,"45 E 42nd St, New York, NY 10017",viewpoint,outdoor,4.7,35108,True,True,viewpoint,,
ChIJUW4vEPxYwokRW6o24DU0YIg,St. Patrick's Cathedral,40.758611699999996,-73.9761953,candidate,"5th Ave, New York, NY 10022",church,indoor,4.8,42233,False,False,,,
ChIJvbGg56pZwokRp_E3JbivnLQ,Bryant Park,40.7535367,-73.9829529,candidate,"New York, NY 10018",city_park,outdoor,4.7,107363,True,True,attraction,yes,
ChIJmZ5emqJYwokRuDz79o0coAQ,Solomon R. Guggenheim Museum,40.7829796,-73.9589706,candidate,"1071 5th Ave, New York, NY 10128",art_museum,indoor,4.3,26454,True,False,,,
ChIJN3MJ6pRYwokRiXg91flSP8Y,Whitney Museum of American Art,40.7395877,-74.0088629,candidate,"99 Gansevoort St, New York, NY 10014",art_museum,indoor,4.5,14927,True,True,museum,yes,
ChIJPS8b1vhYwokRldqq2YHmxJI,Radio City Music Hall,40.759975999999995,-73.9799772,candidate,"1260 6th Ave, New York, NY 10020",concert_hall,indoor,4.8,27499,False,True,yes,yes,
ChIJhRwB-yFawokR5Phil-QQ3zM,Madison Square Garden,40.7505045,-73.9934387,candidate,"New York, NY 10001",arena,indoor,4.7,34606,False,True,attraction,limited,
ChIJZx8c96NZwokRJklw7SVhKt4,Flatiron Building,40.741060499999996,-73.9896986,candidate,"175 5th Ave, New York, NY 10010",historical_landmark,indoor,4.5,15389,False,True,attraction,,
ChIJjX494pBZwokRGH620d9eYfo,Washington Square Park,40.7308838,-73.997332,candidate,"New York, NY 10012",city_park,outdoor,4.6,32870,True,True,park,,
