place_id,station_complex_id,station_complex,dist_m,within_250,within_400
ChIJaXQRs6lZwokRY6EFpJnhNNE,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",230.5,1,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,403,33 St (6),399.9,0,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,609,"Bryant Pk (B,D,F,M)/5 Av (7)",702.2,0,0
ChIJaXQRs6lZwokRY6EFpJnhNNE,319,28 St (1),662.4,0,0
ChIJaXQRs6lZwokRY6EFpJnhNNE,404,28 St (6),608.8,0,0
ChIJaXQRs6lZwokRY6EFpJnhNNE,164,"34 St-Penn Station (A,C,E)",778.9,0,0
ChIJaXQRs6lZwokRY6EFpJnhNNE,13,"28 St (R,W)",415.0,0,0
ChIJaXQRs6lZwokRY6EFpJnhNNE,318,"34 St-Penn Station (1,2,3)",502.8,0,0
ChIJ4zGFAZpYwokRGUGph3Mf37k,159,"81 St-Museum of Natural History (C,B)",566.4,0,0
ChIJ4zGFAZpYwokRGUGph3Mf37k,158,"86 St (C,B)",463.5,0,0
ChIJmQJIxlVYwokRLgeuocVOGVU,10,"49 St (N,R,W)",244.5,1,1
ChIJmQJIxlVYwokRLgeuocVOGVU,316,50 St (1),440.8,0,0
ChIJmQJIxlVYwokRLgeuocVOGVU,162,"50 St (C,E)",499.6,0,0
ChIJmQJIxlVYwokRLgeuocVOGVU,609,"Bryant Pk (B,D,F,M)/5 Av (7)",499.3,0,0
ChIJmQJIxlVYwokRLgeuocVOGVU,277,"7 Av (E,B,D)",635.4,0,0
ChIJmQJIxlVYwokRLgeuocVOGVU,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",141.3,1,1
ChIJmQJIxlVYwokRLgeuocVOGVU,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",363.0,0,1
ChIJI6lzvP5YwokRf36nzqqs4_0,10,"49 St (N,R,W)",478.1,0,0
ChIJI6lzvP5YwokRf36nzqqs4_0,316,50 St (1),548.0,0,0
ChIJI6lzvP5YwokRf36nzqqs4_0,162,"50 St (C,E)",741.5,0,0
ChIJI6lzvP5YwokRf36nzqqs4_0,609,"Bryant Pk (B,D,F,M)/5 Av (7)",588.3,0,0
ChIJI6lzvP5YwokRf36nzqqs4_0,610,"Grand Central-42 St (S,4,5,6,7)",789.3,0,0
ChIJI6lzvP5YwokRf36nzqqs4_0,277,"7 Av (E,B,D)",521.9,0,0
ChIJI6lzvP5YwokRf36nzqqs4_0,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",714.5,0,0
ChIJI6lzvP5YwokRf36nzqqs4_0,9,"57 St-7 Av (N,Q,R,W)",679.6,0,0
ChIJI6lzvP5YwokRf36nzqqs4_0,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",223.9,1,1
ChIJI6lzvP5YwokRf36nzqqs4_0,224,57 St (F),590.9,0,0
ChIJI6lzvP5YwokRf36nzqqs4_0,276,"5 Av/53 St (E,M)",330.5,0,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,10,"49 St (N,R,W)",403.2,0,0
ChIJe7vKMf9YwokRIMYfDz7iF9o,316,50 St (1),458.0,0,0
ChIJe7vKMf9YwokRIMYfDz7iF9o,162,"50 St (C,E)",652.7,0,0
ChIJe7vKMf9YwokRIMYfDz7iF9o,609,"Bryant Pk (B,D,F,M)/5 Av (7)",620.3,0,0
ChIJe7vKMf9YwokRIMYfDz7iF9o,277,"7 Av (E,B,D)",433.4,0,0
ChIJe7vKMf9YwokRIMYfDz7iF9o,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",674.7,0,0
ChIJe7vKMf9YwokRIMYfDz7iF9o,8,"5 Av/59 St (N,R,W)",793.3,0,0
ChIJe7vKMf9YwokRIMYfDz7iF9o,9,"57 St-7 Av (N,Q,R,W)",600.3,0,0
ChIJe7vKMf9YwokRIMYfDz7iF9o,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",178.9,1,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,224,57 St (F),539.9,0,0
ChIJe7vKMf9YwokRIMYfDz7iF9o,276,"5 Av/53 St (E,M)",363.5,0,1
ChIJTWE_0BtawokRVJNGH5RS448,413,"Wall St (4,5)",615.8,0,0
ChIJTWE_0BtawokRVJNGH5RS448,329,Rector St (1),613.4,0,0
ChIJTWE_0BtawokRVJNGH5RS448,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",394.7,0,1
ChIJTWE_0BtawokRVJNGH5RS448,327,"Chambers St (1,2,3)",428.6,0,0
ChIJTWE_0BtawokRVJNGH5RS448,333,"Wall St (2,3)",768.8,0,0
ChIJTWE_0BtawokRVJNGH5RS448,22,"Rector St (R,W)",643.6,0,0
ChIJTWE_0BtawokRVJNGH5RS448,20,"City Hall (R,W)",522.9,0,0
ChIJTWE_0BtawokRVJNGH5RS448,107,"Broad St (J,Z)",748.0,0,0
ChIJTWE_0BtawokRVJNGH5RS448,628,"Fulton St (A,C,J,Z,2,3,4,5)",619.2,0,0
ChIJTWE_0BtawokRVJNGH5RS448,328,WTC Cortlandt (1),154.4,1,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,413,"Wall St (4,5)",464.0,0,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,329,Rector St (1),453.9,0,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",475.6,0,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,327,"Chambers St (1,2,3)",552.7,0,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,333,"Wall St (2,3)",638.2,0,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,22,"Rector St (R,W)",484.5,0,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,20,"City Hall (R,W)",568.3,0,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,107,"Broad St (J,Z)",599.2,0,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,628,"Fulton St (A,C,J,Z,2,3,4,5)",574.4,0,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,414,"Bowling Green (4,5)",754.0,0,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,328,WTC Cortlandt (1),100.7,1,1
ChIJb8Jg9pZYwokR-qHGtvSkLzs,159,"81 St-Museum of Natural History (C,B)",781.6,0,0
ChIJb8Jg9pZYwokR-qHGtvSkLzs,398,77 St (6),706.1,0,0
ChIJb8Jg9pZYwokR-qHGtvSkLzs,397,"86 St (4,5,6)",644.5,0,0
ChIJKxDbe_lYwokRVf__s8CPn-o,10,"49 St (N,R,W)",574.8,0,0
ChIJKxDbe_lYwokRVf__s8CPn-o,316,50 St (1),525.6,0,0
ChIJKxDbe_lYwokRVf__s8CPn-o,162,"50 St (C,E)",713.5,0,0
ChIJKxDbe_lYwokRVf__s8CPn-o,277,"7 Av (E,B,D)",373.6,0,1
ChIJKxDbe_lYwokRVf__s8CPn-o,8,"5 Av/59 St (N,R,W)",520.2,0,0
ChIJKxDbe_lYwokRVf__s8CPn-o,9,"57 St-7 Av (N,Q,R,W)",441.1,0,0
ChIJKxDbe_lYwokRVf__s8CPn-o,225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",438.6,0,0
