place_id,name,location_id,zone,dist_m,within_250,within_400,is_containing
ChIJaXQRs6lZwokRY6EFpJnhNNE,Empire State Building,164,Midtown South,0.0,1,1,1
ChIJaXQRs6lZwokRY6EFpJnhNNE,Empire State Building,170,Murray Hill,152.9,1,1,0
ChIJaXQRs6lZwokRY6EFpJnhNNE,Empire State Building,186,Penn Station/Madison Sq West,227.1,1,1,0
ChIJaXQRs6lZwokRY6EFpJnhNNE,Empire State Building,100,Garment District,232.3,1,1,0
ChIJ4zGFAZpYwokRGUGph3Mf37k,Central Park,43,Central Park,0.0,1,1,1
ChIJmQJIxlVYwokRLgeuocVOGVU,Times Square,230,Times Sq/Theatre District,0.0,1,1,1
ChIJmQJIxlVYwokRLgeuocVOGVU,Times Square,100,Garment District,245.9,1,1,0
ChIJmQJIxlVYwokRLgeuocVOGVU,Times Square,161,Midtown Center,273.8,0,1,0
ChIJmQJIxlVYwokRLgeuocVOGVU,Times Square,48,Clinton East,274.3,0,1,0
ChIJmQJIxlVYwokRLgeuocVOGVU,Times Square,164,Midtown South,368.1,0,1,0
ChIJI6lzvP5YwokRf36nzqqs4_0,Rockefeller Center,161,Midtown Center,0.0,1,1,1
ChIJI6lzvP5YwokRf36nzqqs4_0,Rockefeller Center,230,Times Sq/Theatre District,191.9,1,1,0
ChIJe7vKMf9YwokRIMYfDz7iF9o,Top of the Rock Observation Deck,161,Midtown Center,0.0,1,1,1
ChIJe7vKMf9YwokRIMYfDz7iF9o,Top of the Rock Observation Deck,230,Times Sq/Theatre District,104.7,1,1,0
ChIJe7vKMf9YwokRIMYfDz7iF9o,Top of the Rock Observation Deck,163,Midtown North,345.1,0,1,0
ChIJTWE_0BtawokRVJNGH5RS448,One World Observatory,261,World Trade Center,0.0,1,1,1
ChIJTWE_0BtawokRVJNGH5RS448,One World Observatory,231,TriBeCa/Civic Center,42.6,1,1,0
ChIJTWE_0BtawokRVJNGH5RS448,One World Observatory,13,Battery Park City,61.7,1,1,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,9/11 Memorial & Museum,261,World Trade Center,0.0,1,1,1
ChIJRcvoOxpawokR7R4dQMXMMPQ,9/11 Memorial & Museum,13,Battery Park City,75.7,1,1,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,9/11 Memorial & Museum,231,TriBeCa/Civic Center,187.7,1,1,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,9/11 Memorial & Museum,87,Financial District North,344.5,0,1,0
ChIJRcvoOxpawokR7R4dQMXMMPQ,9/11 Memorial & Museum,209,Seaport,369.2,0,1,0
ChIJb8Jg9pZYwokR-qHGtvSkLzs,The Metropolitan Museum of Art,43,Central Park,0.0,1,1,1
ChIJb8Jg9pZYwokR-qHGtvSkLzs,The Metropolitan Museum of Art,236,Upper East Side North,95.8,1,1,0
ChIJKxDbe_lYwokRVf__s8CPn-o,Museum of Modern Art,161,Midtown Center,0.0,1,1,1
ChIJKxDbe_lYwokRVf__s8CPn-o,Museum of Modern Art,230,Times Sq/Theatre District,124.2,1,1,0
ChIJKxDbe_lYwokRVf__s8CPn-o,Museum of Modern Art,163,Midtown North,135.3,1,1,0
ChIJCXoPsPRYwokRsV1MYnKBfaI,American Museum of Natural History,239,Upper West Side South,0.0,1,1,1
ChIJCXoPsPRYwokRsV1MYnKBfaI,American Museum of Natural History,43,Central Park,129.9,1,1,0
ChIJhRwB-yFawokRi0AhGH87UTc,Grand Central Terminal,162,Midtown East,0.0,1,1,1
