station_complex_id,station_complex,day,hour,mean_ridership
10,"49 St (N,R,W)",friday,0,374.5
10,"49 St (N,R,W)",friday,1,123.6
10,"49 St (N,R,W)",friday,2,54.8
10,"49 St (N,R,W)",friday,3,31.0
10,"49 St (N,R,W)",friday,4,27.9
10,"49 St (N,R,W)",friday,5,46.2
10,"49 St (N,R,W)",friday,6,121.5
10,"49 St (N,R,W)",friday,7,306.4
10,"49 St (N,R,W)",friday,8,622.6
10,"49 St (N,R,W)",friday,9,808.6
10,"49 St (N,R,W)",friday,10,867.7
10,"49 St (N,R,W)",friday,11,817.0
10,"49 St (N,R,W)",friday,12,832.0
10,"49 St (N,R,W)",friday,13,868.3
10,"49 St (N,R,W)",friday,14,1081.8
10,"49 St (N,R,W)",friday,15,1398.7
10,"49 St (N,R,W)",friday,16,1791.9
10,"49 St (N,R,W)",friday,17,2151.0
10,"49 St (N,R,W)",friday,18,1654.0
10,"49 St (N,R,W)",friday,19,1260.1
10,"49 St (N,R,W)",friday,20,1085.1
10,"49 St (N,R,W)",friday,21,1590.6
10,"49 St (N,R,W)",friday,22,1549.2
10,"49 St (N,R,W)",friday,23,884.5
10,"49 St (N,R,W)",monday,0,232.7
10,"49 St (N,R,W)",monday,1,85.4
10,"49 St (N,R,W)",monday,2,41.6
10,"49 St (N,R,W)",monday,3,25.9
10,"49 St (N,R,W)",monday,4,21.4
10,"49 St (N,R,W)",monday,5,40.7
10,"49 St (N,R,W)",monday,6,118.6
10,"49 St (N,R,W)",monday,7,300.1
10,"49 St (N,R,W)",monday,8,668.7
10,"49 St (N,R,W)",monday,9,801.7
10,"49 St (N,R,W)",monday,10,744.7
10,"49 St (N,R,W)",monday,11,681.7
10,"49 St (N,R,W)",monday,12,683.0
10,"49 St (N,R,W)",monday,13,709.8
10,"49 St (N,R,W)",monday,14,876.7
10,"49 St (N,R,W)",monday,15,1176.4
10,"49 St (N,R,W)",monday,16,1634.3
10,"49 St (N,R,W)",monday,17,2633.8
10,"49 St (N,R,W)",monday,18,2014.9
10,"49 St (N,R,W)",monday,19,1206.7
10,"49 St (N,R,W)",monday,20,918.3
10,"49 St (N,R,W)",monday,21,908.4
10,"49 St (N,R,W)",monday,22,709.0
10,"49 St (N,R,W)",monday,23,439.0
10,"49 St (N,R,W)",saturday,0,564.9
10,"49 St (N,R,W)",saturday,1,223.9
10,"49 St (N,R,W)",saturday,2,105.2
10,"49 St (N,R,W)",saturday,3,57.2
