location_id,day,hour,mean_pickups,mean_dropoffs,mean_activity
1,friday,0,0.05,6.02,6.07
1,friday,1,0.03,5.78,5.81
1,friday,2,0.05,12.75,12.8
1,friday,3,0.14,68.3,68.44
1,friday,4,0.34,272.26,272.6
1,friday,5,0.71,461.45,462.16
1,friday,6,0.67,471.74,472.41
1,friday,7,0.35,384.53,384.88
1,friday,8,0.52,326.67,327.19
1,friday,9,0.49,269.7,270.19
1,friday,10,0.6,256.75,257.35
1,friday,11,0.52,254.13,254.65
1,friday,12,0.72,304.25,304.97
1,friday,13,1.08,331.39,332.47
1,friday,14,1.54,377.57,379.11
1,friday,15,1.54,393.29,394.83
1,friday,16,1.33,357.8,359.13
1,friday,17,1.48,319.11,320.59
1,friday,18,1.25,287.52,288.77
1,friday,19,0.78,177.5,178.28
1,friday,20,0.54,102.12,102.66
1,friday,21,0.19,55.97,56.16
1,friday,22,0.16,27.36,27.52
1,friday,23,0.05,12.33,12.38
1,monday,0,0.11,5.64,5.75
1,monday,1,0.11,5.48,5.59
1,monday,2,0.05,13.92,13.97
1,monday,3,0.1,63.38,63.48
1,monday,4,0.23,226.5,226.73
1,monday,5,0.43,370.7,371.13
1,monday,6,0.53,379.51,380.04
1,monday,7,0.36,327.45,327.81
1,monday,8,0.43,267.14,267.57
1,monday,9,0.48,235.06,235.54
1,monday,10,0.41,223.05,223.46
1,monday,11,0.57,225.2,225.77
1,monday,12,1.05,267.44,268.49
1,monday,13,1.26,297.74,299.0
1,monday,14,1.98,374.93,376.91
1,monday,15,1.9,394.11,396.01
1,monday,16,1.69,359.09,360.78
1,monday,17,1.47,299.99,301.46
1,monday,18,1.52,272.39,273.91
1,monday,19,0.7,164.2,164.9
1,monday,20,0.52,92.1,92.62
1,monday,21,0.17,45.09,45.26
1,monday,22,0.07,19.9,19.97
1,monday,23,0.08,7.38,7.46
1,saturday,0,0.04,5.82,5.86
1,saturday,1,0.1,5.45,5.55
1,saturday,2,0.07,13.07,13.14
1,saturday,3,0.11,59.79,59.9
1,saturday,4,0.36,198.7,199.06
1,saturday,5,0.4,301.37,301.77
1,saturday,6,0.42,321.81,322.23
1,saturday,7,0.6,284.1,284.7
1,saturday,8,0.66,248.95,249.61
1,saturday,9,0.5,215.26,215.76
1,saturday,10,0.41,185.88,186.29
1,saturday,11,0.52,183.12,183.64
1,saturday,12,0.67,213.87,214.54
1,saturday,13,1.36,224.98,226.34
1,saturday,14,2.06,291.83,293.89
1,saturday,15,1.93,324.95,326.88
1,saturday,16,1.45,270.78,272.23
1,saturday,17,1.35,208.64,209.99
1,saturday,18,1.23,188.28,189.51
1,saturday,19,1.0,143.22,144.22
1,saturday,20,0.69,98.26,98.95
1,saturday,21,0.39,52.09,52.48
1,saturday,22,0.06,19.34,19.4
1,saturday,23,0.07,9.1,9.17
1,sunday,0,0.1,7.03,7.13
1,sunday,1,0.09,7.45,7.54
1,sunday,2,0.1,17.03,17.13
1,sunday,3,0.2,76.66,76.86
1,sunday,4,0.52,224.69,225.21
1,sunday,5,0.69,315.47,316.16
1,sunday,6,0.6,334.68,335.28
1,sunday,7,0.85,326.52,327.37
1,sunday,8,0.69,304.5,305.19
1,sunday,9,0.83,276.22,277.05
1,sunday,10,0.66,262.72,263.38
1,sunday,11,0.84,260.09,260.93
1,sunday,12,1.31,304.55,305.86
1,sunday,13,1.86,331.59,333.45
1,sunday,14,2.88,416.21,419.09
1,sunday,15,2.92,468.95,471.87
1,sunday,16,2.51,433.41,435.92
1,sunday,17,2.45,368.69,371.14
1,sunday,18,2.22,314.47,316.69
1,sunday,19,1.91,217.46,219.37
1,sunday,20,0.76,121.66,122.42
1,sunday,21,0.38,59.64,60.02
1,sunday,22,0.22,27.27,27.49
1,sunday,23,0.17,9.31,9.48
1,thursday,0,0.09,6.66,6.75
1,thursday,1,0.07,5.23,5.3
1,thursday,2,0.07,12.34,12.41
1,thursday,3,0.09,61.08,61.17
1,thursday,4,0.27,248.12,248.39
1,thursday,5,0.55,433.52,434.07
1,thursday,6,0.44,436.99,437.43
1,thursday,7,0.42,352.07,352.49
1,thursday,8,0.43,294.39,294.82
1,thursday,9,0.49,246.66,247.15
1,thursday,10,0.65,237.75,238.4
1,thursday,11,0.56,236.69,237.25
1,thursday,12,0.82,298.67,299.49
1,thursday,13,1.06,352.81,353.87
1,thursday,14,1.71,441.68,443.39
1,thursday,15,1.82,480.52,482.34
1,thursday,16,1.8,460.74,462.54
1,thursday,17,1.5,432.06,433.56
1,thursday,18,1.44,416.33,417.77
1,thursday,19,1.04,290.26,291.3
1,thursday,20,0.56,144.8,145.36
1,thursday,21,0.34,66.05,66.39
1,thursday,22,0.14,26.96,27.1
1,thursday,23,0.13,9.47,9.6
1,tuesday,0,0.07,4.8,4.87
1,tuesday,1,0.05,4.2,4.25
1,tuesday,2,0.07,9.9,9.97
1,tuesday,3,0.11,46.8,46.91
1,tuesday,4,0.19,183.01,183.2
1,tuesday,5,0.3,310.93,311.23
1,tuesday,6,0.32,316.52,316.84
1,tuesday,7,0.35,264.52,264.87
1,tuesday,8,0.34,213.34,213.68
1,tuesday,9,0.35,184.61,184.96
1,tuesday,10,0.34,182.61,182.95
1,tuesday,11,0.43,184.87,185.3
1,tuesday,12,0.69,220.18,220.87
1,tuesday,13,0.87,256.38,257.25
1,tuesday,14,1.34,324.36,325.7
1,tuesday,15,1.42,344.12,345.54
1,tuesday,16,1.24,316.92,318.16
1,tuesday,17,1.08,273.39,274.47
1,tuesday,18,1.06,251.07,252.13
1,tuesday,19,0.66,163.21,163.87
1,tuesday,20,0.34,82.82,83.16
1,tuesday,21,0.11,39.87,39.98
1,tuesday,22,0.11,17.16,17.27
1,tuesday,23,0.05,6.48,6.53
1,wednesday,0,0.04,5.12,5.16
1,wednesday,1,0.07,4.86,4.93
1,wednesday,2,0.05,10.83,10.88
1,wednesday,3,0.06,51.92,51.98
1,wednesday,4,0.14,204.22,204.36
1,wednesday,5,0.3,353.5,353.8
1,wednesday,6,0.44,364.6,365.04
1,wednesday,7,0.3,307.07,307.37
1,wednesday,8,0.39,243.55,243.94
1,wednesday,9,0.48,208.25,208.73
1,wednesday,10,0.32,204.04,204.36
1,wednesday,11,0.54,206.71,207.25
1,wednesday,12,0.7,251.7,252.4
1,wednesday,13,1.07,296.64,297.71
1,wednesday,14,1.09,382.24,383.33
1,wednesday,15,1.3,405.38,406.68
1,wednesday,16,1.31,383.2,384.51
1,wednesday,17,1.25,332.6,333.85
1,wednesday,18,1.18,319.41,320.59
1,wednesday,19,0.76,209.62,210.38
1,wednesday,20,0.52,112.02,112.54
1,wednesday,21,0.27,57.66,57.93
1,wednesday,22,0.14,28.34,28.48
1,wednesday,23,0.05,11.43,11.48
2,friday,0,0.03,0.02,0.05
2,friday,2,0.01,0.02,0.03
2,friday,3,0.0,0.16,0.16
2,friday,4,0.01,0.03,0.04
2,friday,6,0.03,0.06,0.09
2,friday,7,0.04,0.11,0.15
2,friday,8,0.08,0.13,0.21
2,friday,9,0.07,0.19,0.26
2,friday,10,0.06,0.11,0.17
2,friday,11,0.16,0.08,0.24
2,friday,12,0.08,0.16,0.24
2,friday,13,0.15,0.11,0.26
2,friday,14,0.12,0.06,0.18
2,friday,15,0.11,0.11,0.22
2,friday,16,0.16,0.09,0.25
2,friday,17,0.16,0.15,0.31
2,friday,18,0.19,0.08,0.27
2,friday,19,0.11,0.1,0.21
2,friday,20,0.14,0.07,0.21
2,friday,21,0.1,0.07,0.17
2,friday,22,0.06,0.06,0.12
2,friday,23,0.01,0.01,0.02
2,monday,0,0.03,0.02,0.05
2,monday,1,0.03,0.02,0.05
2,monday,2,0.01,0.06,0.07
2,monday,3,0.01,0.11,0.12
2,monday,4,0.02,0.05,0.07
2,monday,5,0.01,0.02,0.03
2,monday,6,0.01,0.04,0.05
2,monday,7,0.02,0.03,0.05
2,monday,8,0.03,0.08,0.11
2,monday,9,0.02,0.11,0.13
2,monday,10,0.07,0.08,0.15
2,monday,11,0.1,0.1,0.2
2,monday,12,0.07,0.08,0.15
2,monday,13,0.13,0.11,0.24
2,monday,14,0.2,0.13,0.33
2,monday,15,0.13,0.11,0.24
2,monday,16,0.16,0.11,0.27
2,monday,17,0.11,0.16,0.27
2,monday,18,0.14,0.08,0.22
2,monday,19,0.1,0.04,0.14
2,monday,20,0.07,0.04,0.11
2,monday,21,0.03,0.02,0.05
2,monday,22,0.07,0.02,0.09
2,monday,23,0.05,0.05,0.1
2,saturday,0,0.02,0.04,0.06
2,saturday,1,0.02,0.04,0.06
2,saturday,2,0.02,0.04,0.06
2,saturday,3,0.0,0.02,0.02
2,saturday,4,0.02,0.02,0.04
2,saturday,5,0.0,0.04,0.04
2,saturday,6,0.02,0.09,0.11
2,saturday,7,0.02,0.15,0.17
2,saturday,8,0.07,0.27,0.34
2,saturday,9,0.07,0.27,0.34
2,saturday,10,0.12,0.32,0.44
2,saturday,11,0.17,0.29,0.46
2,saturday,12,0.36,0.31,0.67
2,saturday,13,0.26,0.2,0.46
2,saturday,14,0.2,0.26,0.46
2,saturday,15,0.23,0.12,0.35
2,saturday,16,0.21,0.14,0.35
2,saturday,17,0.19,0.09,0.28
2,saturday,18,0.19,0.07,0.26
2,saturday,19,0.06,0.07,0.13
2,saturday,20,0.11,0.07,0.18
2,saturday,21,0.08,0.03,0.11
2,saturday,22,0.02,0.02,0.04
2,saturday,23,0.04,0.02,0.06
2,sunday,0,0.09,0.02,0.11
2,sunday,1,0.02,0.04,0.06
2,sunday,2,0.01,0.01,0.02
2,sunday,3,0.02,0.03,0.05
2,sunday,5,0.0,0.04,0.04
2,sunday,6,0.0,0.1,0.1
2,sunday,7,0.05,0.15,0.2
2,sunday,8,0.09,0.22,0.31
2,sunday,9,0.1,0.26,0.36
2,sunday,10,0.14,0.27,0.41
2,sunday,11,0.24,0.16,0.4
2,sunday,12,0.21,0.23,0.44
2,sunday,13,0.26,0.15,0.41
2,sunday,14,0.24,0.19,0.43
2,sunday,15,0.18,0.17,0.35
2,sunday,16,0.2,0.13,0.33
2,sunday,17,0.17,0.11,0.28
2,sunday,18,0.11,0.05,0.16
2,sunday,19,0.07,0.07,0.14
2,sunday,20,0.06,0.07,0.13
2,sunday,21,0.04,0.03,0.07
2,sunday,22,0.05,0.02,0.07
2,sunday,23,0.01,0.05,0.06
2,thursday,0,0.02,0.01,0.03
2,thursday,1,0.02,0.01,0.03
2,thursday,2,0.0,0.02,0.02
2,thursday,3,0.01,0.11,0.12
2,thursday,4,0.0,0.03,0.03
2,thursday,5,0.02,0.0,0.02
2,thursday,6,0.01,0.04,0.05
2,thursday,7,0.03,0.06,0.09
2,thursday,8,0.03,0.1,0.13
2,thursday,9,0.04,0.07,0.11
2,thursday,10,0.07,0.11,0.18
2,thursday,11,0.06,0.08,0.14
2,thursday,12,0.07,0.07,0.14
2,thursday,13,0.08,0.09,0.17
2,thursday,14,0.12,0.11,0.23
2,thursday,15,0.16,0.15,0.31
2,thursday,16,0.2,0.18,0.38
2,thursday,17,0.16,0.07,0.23
2,thursday,18,0.07,0.06,0.13
2,thursday,19,0.09,0.09,0.18
2,thursday,20,0.09,0.03,0.12
2,thursday,21,0.04,0.07,0.11
2,thursday,22,0.03,0.07,0.1
2,thursday,23,0.0,0.05,0.05
2,tuesday,0,0.02,0.01,0.03
2,tuesday,1,0.01,0.01,0.02
2,tuesday,2,0.01,0.02,0.03
2,tuesday,3,0.0,0.16,0.16
2,tuesday,4,0.02,0.03,0.05
2,tuesday,5,0.0,0.02,0.02
2,tuesday,6,0.0,0.04,0.04
2,tuesday,7,0.02,0.02,0.04
2,tuesday,8,0.03,0.07,0.1
2,tuesday,9,0.04,0.09,0.13
2,tuesday,10,0.03,0.11,0.14
2,tuesday,11,0.07,0.05,0.12
2,tuesday,12,0.05,0.08,0.13
2,tuesday,13,0.07,0.1,0.17
