date,name,is_holiday
2021-12-31,New Year's Day,1
2022-01-17,"Martin Luther King, Jr. Day",1
2022-02-21,Presidents Day,1
2022-05-30,Memorial Day,1
2022-06-20,Juneteenth National Independence Day,1
2022-07-04,Independence Day,1
2022-09-05,Labour Day,1
2022-10-10,Columbus Day,1
2022-11-11,Veterans Day,1
2022-11-24,Thanksgiving Day,1
2022-12-26,Christmas Day,1
2023-01-02,New Year's Day,1
2023-01-16,"Martin Luther King, Jr. Day",1
2023-02-20,Presidents Day,1
2023-05-29,Memorial Day,1
2023-06-19,Juneteenth National Independence Day,1
2023-07-04,Independence Day,1
2023-09-04,Labour Day,1
2023-10-09,Columbus Day,1
2023-11-10,Veterans Day,1
2023-11-23,Thanksgiving Day,1
2023-12-25,Christmas Day,1
2024-01-01,New Year's Day,1
2024-01-15,"Martin Luther King, Jr. Day",1
2024-02-19,Presidents Day,1
2024-05-27,Memorial Day,1
2024-06-19,Juneteenth National Independence Day,1
2024-07-04,Independence Day,1
2024-09-02,Labour Day,1
2024-10-14,Columbus Day,1
2024-11-11,Veterans Day,1
2024-11-28,Thanksgiving Day,1
2024-12-25,Christmas Day,1
2025-01-01,New Year's Day,1
2025-01-20,"Martin Luther King, Jr. Day",1
2025-02-17,Presidents Day,1
2025-05-26,Memorial Day,1
2025-06-19,Juneteenth National Independence Day,1
2025-07-04,Independence Day,1
2025-09-01,Labour Day,1
2025-10-13,Columbus Day,1
2025-11-11,Veterans Day,1
2025-11-27,Thanksgiving Day,1
2025-12-25,Christmas Day,1
2026-01-01,New Year's Day,1
2026-01-19,"Martin Luther King, Jr. Day",1
2026-02-16,Presidents Day,1
2026-05-25,Memorial Day,1
2026-06-19,Juneteenth National Independence Day,1
2026-07-03,Independence Day,1
2026-09-07,Labour Day,1
2026-10-12,Columbus Day,1
2026-11-11,Veterans Day,1
2026-11-26,Thanksgiving Day,1
2026-12-25,Christmas Day,1
2027-01-01,New Year's Day,1
2027-01-18,"Martin Luther King, Jr. Day",1
2027-02-15,Presidents Day,1
2027-05-31,Memorial Day,1
2027-06-18,Juneteenth National Independence Day,1
2027-07-05,Independence Day,1
2027-09-06,Labour Day,1
2027-10-11,Columbus Day,1
2027-11-11,Veterans Day,1
2027-11-25,Thanksgiving Day,1
2027-12-24,Christmas Day,1
