time,date,dow,hour,temperature_2m,precipitation,rain,snowfall,cloud_cover,wind_speed_10m,weather_code
2022-01-01 00:00:00,2022-01-01,saturday,0,7.9,0.0,0.0,0.0,100,3.4,3
2022-01-01 01:00:00,2022-01-01,saturday,1,7.9,0.0,0.0,0.0,100,6.4,3
2022-01-01 02:00:00,2022-01-01,saturday,2,8.1,0.0,0.0,0.0,100,4.7,3
2022-01-01 03:00:00,2022-01-01,saturday,3,7.8,0.0,0.0,0.0,100,7.4,3
2022-01-01 04:00:00,2022-01-01,saturday,4,7.7,0.1,0.1,0.0,100,4.7,51
2022-01-01 05:00:00,2022-01-01,saturday,5,7.7,0.0,0.0,0.0,100,9.4,3
2022-01-01 06:00:00,2022-01-01,saturday,6,8.1,1.8,1.8,0.0,100,5.9,61
2022-01-01 07:00:00,2022-01-01,saturday,7,8.6,1.4,1.4,0.0,100,6.1,61
2022-01-01 08:00:00,2022-01-01,saturday,8,8.4,0.5,0.5,0.0,100,3.4,53
2022-01-01 09:00:00,2022-01-01,saturday,9,9.3,0.6,0.6,0.0,100,7.7,53
2022-01-01 10:00:00,2022-01-01,saturday,10,9.9,0.6,0.6,0.0,100,7.6,53
2022-01-01 11:00:00,2022-01-01,saturday,11,10.1,0.6,0.6,0.0,100,10.9,53
2022-01-01 12:00:00,2022-01-01,saturday,12,11.1,0.4,0.4,0.0,100,9.7,51
2022-01-01 13:00:00,2022-01-01,saturday,13,11.4,0.5,0.5,0.0,100,11.9,53
2022-01-01 14:00:00,2022-01-01,saturday,14,11.7,0.7,0.7,0.0,100,9.2,53
2022-01-01 15:00:00,2022-01-01,saturday,15,11.9,0.4,0.4,0.0,100,8.4,51
2022-01-01 16:00:00,2022-01-01,saturday,16,11.6,0.2,0.2,0.0,100,8.2,51
2022-01-01 17:00:00,2022-01-01,saturday,17,11.3,0.4,0.4,0.0,100,4.3,51
2022-01-01 18:00:00,2022-01-01,saturday,18,10.7,1.5,1.5,0.0,100,2.3,61
2022-01-01 19:00:00,2022-01-01,saturday,19,10.6,0.8,0.8,0.0,100,3.3,53
2022-01-01 20:00:00,2022-01-01,saturday,20,9.9,1.7,1.7,0.0,100,4.3,61
2022-01-01 21:00:00,2022-01-01,saturday,21,10.8,1.8,1.8,0.0,100,7.3,61
2022-01-01 22:00:00,2022-01-01,saturday,22,10.8,1.3,1.3,0.0,100,7.4,61
2022-01-01 23:00:00,2022-01-01,saturday,23,10.8,4.1,4.1,0.0,100,13.9,63
2022-01-02 00:00:00,2022-01-02,sunday,0,10.6,8.5,8.5,0.0,100,15.3,65
2022-01-02 01:00:00,2022-01-02,sunday,1,10.5,6.4,6.4,0.0,100,16.5,63
2022-01-02 02:00:00,2022-01-02,sunday,2,10.1,0.2,0.2,0.0,100,11.9,51
2022-01-02 03:00:00,2022-01-02,sunday,3,9.8,0.1,0.1,0.0,100,12.7,51
2022-01-02 04:00:00,2022-01-02,sunday,4,9.9,0.4,0.4,0.0,100,11.3,51
2022-01-02 05:00:00,2022-01-02,sunday,5,9.9,0.1,0.1,0.0,100,9.5,51
2022-01-02 06:00:00,2022-01-02,sunday,6,9.6,0.2,0.2,0.0,100,5.2,51
2022-01-02 07:00:00,2022-01-02,sunday,7,9.2,0.0,0.0,0.0,100,4.9,3
2022-01-02 08:00:00,2022-01-02,sunday,8,9.5,0.0,0.0,0.0,100,3.9,3
2022-01-02 09:00:00,2022-01-02,sunday,9,9.9,0.0,0.0,0.0,100,2.6,3
2022-01-02 10:00:00,2022-01-02,sunday,10,10.9,0.0,0.0,0.0,100,4.8,3
2022-01-02 11:00:00,2022-01-02,sunday,11,11.8,0.0,0.0,0.0,100,9.3,3
2022-01-02 12:00:00,2022-01-02,sunday,12,12.1,0.0,0.0,0.0,100,12.0,3
2022-01-02 13:00:00,2022-01-02,sunday,13,12.9,0.0,0.0,0.0,100,15.0,3
2022-01-02 14:00:00,2022-01-02,sunday,14,13.2,0.1,0.1,0.0,100,17.1,51
2022-01-02 15:00:00,2022-01-02,sunday,15,12.1,0.0,0.0,0.0,100,14.0,3
2022-01-02 16:00:00,2022-01-02,sunday,16,11.6,0.0,0.0,0.0,100,15.8,3
2022-01-02 17:00:00,2022-01-02,sunday,17,10.8,0.0,0.0,0.0,100,18.8,3
2022-01-02 18:00:00,2022-01-02,sunday,18,8.9,0.0,0.0,0.0,100,20.1,3
2022-01-02 19:00:00,2022-01-02,sunday,19,7.4,0.0,0.0,0.0,100,21.4,3
2022-01-02 20:00:00,2022-01-02,sunday,20,6.3,0.0,0.0,0.0,100,23.9,3
2022-01-02 21:00:00,2022-01-02,sunday,21,5.0,0.0,0.0,0.0,100,25.1,3
2022-01-02 22:00:00,2022-01-02,sunday,22,3.5,0.0,0.0,0.0,100,20.9,3
2022-01-02 23:00:00,2022-01-02,sunday,23,2.8,0.0,0.0,0.0,100,18.1,3
2022-01-03 00:00:00,2022-01-03,monday,0,2.1,0.0,0.0,0.0,100,16.6,3
2022-01-03 01:00:00,2022-01-03,monday,1,1.8,0.0,0.0,0.0,100,14.8,3
2022-01-03 02:00:00,2022-01-03,monday,2,1.4,0.0,0.0,0.0,100,15.3,3
2022-01-03 03:00:00,2022-01-03,monday,3,1.0,0.0,0.0,0.0,100,14.7,3
2022-01-03 04:00:00,2022-01-03,monday,4,0.6,0.0,0.0,0.0,100,15.4,3
2022-01-03 05:00:00,2022-01-03,monday,5,0.3,0.0,0.0,0.0,100,14.8,3
